A00,"Cholera"
S12390,"Other displaced fracture of fourth cervical vertebra"
S12391,"Other nondisplaced fracture of fourth cervical vertebra"
S124,"Fracture of fifth cervical vertebra"
S1240,"Unspecified fracture of fifth cervical vertebra"
S12400,"Unspecified displaced fracture of fifth cervical vertebra"
S12401,"Unspecified nondisplaced fracture of fifth cervical vertebra"
S1243,"Unspecified traumatic spondylolisthesis of fifth cervical vertebra"
S12430,"Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra"
S12431,"Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra"
S1244,"Type III traumatic spondylolisthesis of fifth cervical vertebra"
S1245,"Other traumatic spondylolisthesis of fifth cervical vertebra"
S12450,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra"
S12451,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra"
S1249,"Other fracture of fifth cervical vertebra"
S12490,"Other displaced fracture of fifth cervical vertebra"
S12491,"Other nondisplaced fracture of fifth cervical vertebra"
S125,"Fracture of sixth cervical vertebra"
S1250,"Unspecified fracture of sixth cervical vertebra"
S12500,"Unspecified displaced fracture of sixth cervical vertebra"
S12501,"Unspecified nondisplaced fracture of sixth cervical vertebra"
S1253,"Unspecified traumatic spondylolisthesis of sixth cervical vertebra"
S12530,"Unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra"
S12531,"Unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra"
S1254,"Type III traumatic spondylolisthesis of sixth cervical vertebra"
S1255,"Other traumatic spondylolisthesis of sixth cervical vertebra"
S12550,"Other traumatic displaced spondylolisthesis of sixth cervical vertebra"
S12551,"Other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra"
S1259,"Other fracture of sixth cervical vertebra"
S12590,"Other displaced fracture of sixth cervical vertebra"
S12591,"Other nondisplaced fracture of sixth cervical vertebra"
S126,"Fracture of seventh cervical vertebra"
S1260,"Unspecified fracture of seventh cervical vertebra"
S12600,"Unspecified displaced fracture of seventh cervical vertebra"
S12601,"Unspecified nondisplaced fracture of seventh cervical vertebra"
S1263,"Unspecified traumatic spondylolisthesis of seventh cervical vertebra"
S12630,"Unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra"
S12631,"Unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra"
S1264,"Type III traumatic spondylolisthesis of seventh cervical vertebra"
S1265,"Other traumatic spondylolisthesis of seventh cervical vertebra"
S12650,"Other traumatic displaced spondylolisthesis of seventh cervical vertebra"
S12651,"Other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra"
S1269,"Other fracture of seventh cervical vertebra"
S12690,"Other displaced fracture of seventh cervical vertebra"
S12691,"Other nondisplaced fracture of seventh cervical vertebra"
S128,"Fracture of other parts of neck"
S129,"Fracture of neck, unspecified"
S13,"Dislocation and sprain of joints and ligaments at neck level"
S130,"Traumatic rupture of cervical intervertebral disc"
S131,"Subluxation and dislocation of cervical vertebrae"
S1310,"Subluxation and dislocation of unspecified cervical vertebrae"
S13100,"Subluxation of unspecified cervical vertebrae"
S13101,"Dislocation of unspecified cervical vertebrae"
S1311,"Subluxation and dislocation of C0/C1 cervical vertebrae"
S13110,"Subluxation of C0/C1 cervical vertebrae"
S13111,"Dislocation of C0/C1 cervical vertebrae"
S1312,"Subluxation and dislocation of C1/C2 cervical vertebrae"
S13120,"Subluxation of C1/C2 cervical vertebrae"
S13121,"Dislocation of C1/C2 cervical vertebrae"
S1313,"Subluxation and dislocation of C2/C3 cervical vertebrae"
S13130,"Subluxation of C2/C3 cervical vertebrae"
S13131,"Dislocation of C2/C3 cervical vertebrae"
S1314,"Subluxation and dislocation of C3/C4 cervical vertebrae"
S13140,"Subluxation of C3/C4 cervical vertebrae"
S13141,"Dislocation of C3/C4 cervical vertebrae"
S1315,"Subluxation and dislocation of C4/C5 cervical vertebrae"
S13150,"Subluxation of C4/C5 cervical vertebrae"
S13151,"Dislocation of C4/C5 cervical vertebrae"
S1316,"Subluxation and dislocation of C5/C6 cervical vertebrae"
S13160,"Subluxation of C5/C6 cervical vertebrae"
S13161,"Dislocation of C5/C6 cervical vertebrae"
S1317,"Subluxation and dislocation of C6/C7 cervical vertebrae"
S13170,"Subluxation of C6/C7 cervical vertebrae"
S13171,"Dislocation of C6/C7 cervical vertebrae"
S1318,"Subluxation and dislocation of C7/T1 cervical vertebrae"
S13180,"Subluxation of C7/T1 cervical vertebrae"
S13181,"Dislocation of C7/T1 cervical vertebrae"
S132,"Dislocation of other and unspecified parts of neck"
S1320,"Dislocation of unspecified parts of neck"
S1329,"Dislocation of other parts of neck"
S134,"Sprain of ligaments of cervical spine"
S135,"Sprain of thyroid region"
S138,"Sprain of joints and ligaments of other parts of neck"
S139,"Sprain of joints and ligaments of unspecified parts of neck"
S14,"Injury of nerves and spinal cord at neck level"
S140,"Concussion and edema of cervical spinal cord"
S141,"Other and unspecified injuries of cervical spinal cord"
S1410,"Unspecified injury of cervical spinal cord"
S14101,"Unspecified injury at C1 level of cervical spinal cord"
S14102,"Unspecified injury at C2 level of cervical spinal cord"
S14103,"Unspecified injury at C3 level of cervical spinal cord"
S14104,"Unspecified injury at C4 level of cervical spinal cord"
S14105,"Unspecified injury at C5 level of cervical spinal cord"
S14106,"Unspecified injury at C6 level of cervical spinal cord"
S14107,"Unspecified injury at C7 level of cervical spinal cord"
S14108,"Unspecified injury at C8 level of cervical spinal cord"
S14109,"Unspecified injury at unspecified level of cervical spinal cord"
S1411,"Complete lesion of cervical spinal cord"
S14111,"Complete lesion at C1 level of cervical spinal cord"
S14112,"Complete lesion at C2 level of cervical spinal cord"
S14113,"Complete lesion at C3 level of cervical spinal cord"
S14114,"Complete lesion at C4 level of cervical spinal cord"
S14115,"Complete lesion at C5 level of cervical spinal cord"
S14116,"Complete lesion at C6 level of cervical spinal cord"
S14117,"Complete lesion at C7 level of cervical spinal cord"
S14118,"Complete lesion at C8 level of cervical spinal cord"
S14119,"Complete lesion at unspecified level of cervical spinal cord"
S1412,"Central cord syndrome of cervical spinal cord"
S14121,"Central cord syndrome at C1 level of cervical spinal cord"
S14122,"Central cord syndrome at C2 level of cervical spinal cord"
S14123,"Central cord syndrome at C3 level of cervical spinal cord"
S14124,"Central cord syndrome at C4 level of cervical spinal cord"
S14125,"Central cord syndrome at C5 level of cervical spinal cord"
S14126,"Central cord syndrome at C6 level of cervical spinal cord"
S14127,"Central cord syndrome at C7 level of cervical spinal cord"
S14128,"Central cord syndrome at C8 level of cervical spinal cord"
S14129,"Central cord syndrome at unspecified level of cervical spinal cord"
S1413,"Anterior cord syndrome of cervical spinal cord"
S14131,"Anterior cord syndrome at C1 level of cervical spinal cord"
S14132,"Anterior cord syndrome at C2 level of cervical spinal cord"
S14133,"Anterior cord syndrome at C3 level of cervical spinal cord"
S14134,"Anterior cord syndrome at C4 level of cervical spinal cord"
S14135,"Anterior cord syndrome at C5 level of cervical spinal cord"
S14136,"Anterior cord syndrome at C6 level of cervical spinal cord"
S14137,"Anterior cord syndrome at C7 level of cervical spinal cord"
S14138,"Anterior cord syndrome at C8 level of cervical spinal cord"
S14139,"Anterior cord syndrome at unspecified level of cervical spinal cord"
S1414,"Brown-Sequard syndrome of cervical spinal cord"
S14141,"Brown-Sequard syndrome at C1 level of cervical spinal cord"
S14142,"Brown-Sequard syndrome at C2 level of cervical spinal cord"
S14143,"Brown-Sequard syndrome at C3 level of cervical spinal cord"
S14144,"Brown-Sequard syndrome at C4 level of cervical spinal cord"
S14145,"Brown-Sequard syndrome at C5 level of cervical spinal cord"
S14146,"Brown-Sequard syndrome at C6 level of cervical spinal cord"
S14147,"Brown-Sequard syndrome at C7 level of cervical spinal cord"
S14148,"Brown-Sequard syndrome at C8 level of cervical spinal cord"
S14149,"Brown-Sequard syndrome at unspecified level of cervical spinal cord"
S1415,"Other incomplete lesions of cervical spinal cord"
S14151,"Other incomplete lesion at C1 level of cervical spinal cord"
S14152,"Other incomplete lesion at C2 level of cervical spinal cord"
S14153,"Other incomplete lesion at C3 level of cervical spinal cord"
S14154,"Other incomplete lesion at C4 level of cervical spinal cord"
S14155,"Other incomplete lesion at C5 level of cervical spinal cord"
S14156,"Other incomplete lesion at C6 level of cervical spinal cord"
S14157,"Other incomplete lesion at C7 level of cervical spinal cord"
S14158,"Other incomplete lesion at C8 level of cervical spinal cord"
S14159,"Other incomplete lesion at unspecified level of cervical spinal cord"
S142,"Injury of nerve root of cervical spine"
S143,"Injury of brachial plexus"
S144,"Injury of peripheral nerves of neck"
S145,"Injury of cervical sympathetic nerves"
S148,"Injury of other specified nerves of neck"
S149,"Injury of unspecified nerves of neck"
S15,"Injury of blood vessels at neck level"
S150,"Injury of carotid artery of neck"
S1500,"Unspecified injury of carotid artery"
S15001,"Unspecified injury of right carotid artery"
S15002,"Unspecified injury of left carotid artery"
S15009,"Unspecified injury of unspecified carotid artery"
S1501,"Minor laceration of carotid artery"
